index,username,tweet,timestamp
47,b'Nick Reshatoff ',b'No surprise. Thanks for making people late to work yet again due to delays from your crappy trains. We keep paying $$ for nothing!!!',30/5/17 6:57
48,b'Jagdeep Sahota ',"b'Is ""sorry"" even in your vocabulary?  I know it\'s not in your attitude'",30/5/17 6:56
49,b'Ryan Batty ',"b'Warning #Oakland #BART riders, our conductor saying ""No service to #SF right now, not sure when"" even tho @SFBARTalert says ""10 min delay.""'",30/5/17 6:56
50,b'Mere ',"b""Agreed, it's obviously more than the 10 min you stated.""",30/5/17 6:56
51,b'Jagdeep Sahota ',b'You got the public by the balls so only choice we have is to put up with your schninigans and your shear lack of empathy towards public ',30/5/17 6:55
52,b'SFBARTalert ',b'Major delay system wide due to a disabled train between WOAK and EMBR.',30/5/17 6:55
53,b'Mere ',"b""Wow, simply wow. You are past the 10 min delay, esp, when you are holding a train at the 2nd station. At least don't lie that it is 10 min.""",30/5/17 6:54
54,b'H ',"b""It's not underfunded. Money being allocated incorrectly. We live in the Bay Area. Someone has to be able to fix these daily problems.""",30/5/17 6:53
55,b'The Incredible Moppa ',b'@SFBART and @SFBARTalert can you quantify #majorBARTdelay so that I can better determine just how late I will be for work? #sfbartnotmoving',30/5/17 6:53
56,b'eze ',b'@SFBARTalert how can we have track issues when you just worked on the tracks #stuckatLakeMerritt',30/5/17 6:53
57,b'Ryan Ko ',"b'I agree -- it sucks :( BART is quite underfunded, I hope the repairs go fast!!'",30/5/17 6:47
58,b'Mike Williams ',b'@SFBARTalert when are the trains moving or should you just shut down',30/5/17 6:46
59,b'Yankee Girl ',"b""Now a MAJOR delay in all directions due to a disabled train. Don't worry @SFBARTalert I'll keep a handful of people updated. """,30/5/17 6:45
60,b'Mike Williams ',b'Why do you guys continuing to do this to us',30/5/17 6:43
61,b'SFBARTalert ',b'10 min delay system wide due to equip prob in downtown Oak/LAKE area.',30/5/17 6:07
62,b'SFBARTalert ',b'10 min delay at LAKE in RICH and DALY dirs due to equip prob.',30/5/17 5:53
63,b'liz polo ',b'@SFBARTalert @SFBART @BevanDufty Is BART PD on patrol? Our safety of passengers needs to be first !',27/5/17 13:23
64,b'SFBARTalert ',b'BART recovering: 10 min delay at 12TH in PITT and RICH dirs due to police activity.',27/5/17 11:03
65,b'SFBARTalert ',b'A detailed BART service advisory has been issued: http://m.bart.gov/schedules/advisories \xe2\x80\xa6',27/5/17 5:27
66,b'Mike Williams ',"b""Bart You shouldn't  have the weekends  off""",26/5/17 23:09
67,b'Mike Williams ',"b""I shouldn't have to wait 20 to 30 mins with this""",26/5/17 23:08
68,b'Mike Williams ',"b""Stop asking for taxpayer's money""",26/5/17 23:07
69,b'Mike Williams ',b'FIX YOUR DAMN SYSTEM',26/5/17 23:07
70,b'Mike Williams ',b'No the Bart police @ san Bruno said they are done. Your system just sucks #Tiredofbartdelays pic.twitter.com/crje0wBt7i',26/5/17 22:26
71,b'SFBARTalert ',"b'10 min delay on SFO line in SFO, MLBR, SF and East Bay dirs due to police activity.'",26/5/17 22:18
72,b'SFBARTalert ',b'BART recovering: 15 min delay at COLM in SFO and MLBR dirs due to police activity.',26/5/17 20:21
73,b'liz polo ',b'@SFBARTalert @sfbart @BevanDufty Fare Evader & Harrasing panhandler w/infant works everyday...aggressive stop this!',26/5/17 15:34
74,b'liz polo ',b'@SFBARTalert @SFBART @BevanDufty Panhandler & fare Evaders hourly using infant this needs to stop! Harassed passenger',26/5/17 15:12
75,b'IMBIO510 ',"b""In other words it's  just another day.""",26/5/17 12:15
76,b'Joe Hanson ',"b'And SFO/Millbrae dir, just a heads up'",26/5/17 6:15
77,b'Andrew Lueder ',"b'Lots of medical ""emergencies"" at Emb. Sta. Either the tube is cursed or that station is. Either way, should call it MASH instead of BART'",25/5/17 20:11
78,b'tammeriffica ',b'@SFBARTalert how many Fremont trains are going to pass before we get a Dublin one tonight? Asking for a friend',25/5/17 19:22
79,b'Miguel Quesadilla ',"b""So that's why I'm stuck between 16th and Civic Station. What else is new ??""",25/5/17 17:32
80,b'machabeeTV ',b'@SFBARTalert why are no trains moving? (At Balboa station)',25/5/17 8:43
81,b'CP ',b'That didnt take long',25/5/17 4:31
82,b'Parminder Gill ',b'Do you ever get tired of tweets like this @SFBART',24/5/17 22:28
83,b'Nova Scotia ',b'@SFBARTalert I understand the Richmond line is less affluent but sending 3 Pittsburgh trains in 15 min and just 1 Richmond train is low...',24/5/17 18:06
84,b'Stephanie Carter ',"b""Ask @SFBARTalert what's going on with train heading to Millbrae?""",24/5/17 17:36
85,b'Mia ',"b'@SFBARTalert @SFBART train sotting at civic center with no movement, no announcement'",24/5/17 17:12
86,b'Jenny ',b'I stopped taking BART because of the delays and crime. It seems there are more delays these past few weeks.',24/5/17 14:29
87,b'SFBARTalert ',b'BART recovering: 15 min delay at SF stns in East Bay dir due to police activity at EMBR.',24/5/17 13:58
88,b'SFBARTalert ',b'BART recovering: 10 min delay between MLBR and SBRN in RICH and MLBR dirs due to equip prob.',24/5/17 13:33
89,b'marisa-lee casillo ',b'every day BART. multiple issues EVERY. DAY.',24/5/17 13:16
90,b'Freewheel Brewing Co ',b'You keep saying 10 minutes but this train is currently over 20 minutes delayed?',24/5/17 13:09
91,b'Lucia Targett ',"b""Everyday it's like this. Something needs to change @SFBARTalert """,24/5/17 8:06
92,b'Brian Guyton ',b'More than 10 mins',24/5/17 7:38
93,b'Val ',b'That delay was just right on time as always. Thanks Bart for yiur consistency',24/5/17 7:31
94,b'PresidentPapi ',"b""Y'all suck so bad. been at Fremont for 15 mins and the sign has said next car in 6 mins for the past 15 mins. People got finals to take""",24/5/17 7:19
95,b'A-Aron ',"b""They're a little late on their tweet. Been sitting at 12TH ST for at least 10 minutes. Finally rolling now.""",24/5/17 7:17
96,b'Victorina McAdam ',"b""I'm on Bart now near San Leandro and they just said all is clear. We are now moving.""",24/5/17 7:16
97,b'Krysten Laine ',"b'Still a delay? Two Richmond trains went through Union City, but no SF trains for 20 minutes'",24/5/17 7:15
98,b'Mike Williams ',b'@SFBARTalert why are you holding the train. You need to release the train @ west oakland.',24/5/17 7:14
99,b'Mike Williams ',"b""@SFBARTalert Stuck at west oakland station. What's going on?""",24/5/17 7:06
100,b'Prerak Trivedi ',b'Thank you for confirmation ',24/5/17 6:37
101,b'Mike Williams ',b'@SFBARTalert Second time in a row there delays ok on early trains #Bartnottrustable',24/5/17 6:35
102,b'Alexis Smith\nVerified account\n ',"b'Yes, just a 10 minute delay. Improving now!'",24/5/17 6:26
103,b'Kirk ',b'Pittsburgh line delayed at Orinda @SFBARTalert any updates?',24/5/17 6:03
104,b'Prerak Trivedi ',b'@SFBARTalert @AlexisABC7 is there a delay on Fremont/SF/Dalycity/Richmond line due to disable train at bay fair or around?',24/5/17 5:49
105,b'Tahanee ',"b""Holy shit I am so done with @SFBART @SFBARTalert and it's bullshit.""",23/5/17 18:41
106,b'SFBART\nVerified account\n ',"b'For status updates, please follow @SFBARTalert .'",23/5/17 11:14
107,b'liz polo ',b'There is no visible BArt PD - this is EMPTY daily- where is our safety?',23/5/17 10:08
108,b'Agustin Diaz ',"b""Nah. It's just normal BART service.""",23/5/17 10:04
109,b'Patrick Fowler ',b'Been sitting 10 minutes at #glenParkBart - sign still showing warm springs 5 mins away',23/5/17 9:21
110,b'Leoma Elain ',b'#bart stop charging exorbitant fares for shitty service.',23/5/17 9:01
111,b'Kris Siegel ',b'',23/5/17 9:00
112,b'SFBARTalert ',b'10 min delay at DALY in DUBL and warm springs dirs due to equip prob.',23/5/17 8:58
113,b'liz polo ',b'@SFBART @SFBARTalert @BevanDufty if fare Evaders daily are not detected by BART what safety measures r provided 4 passengers?',23/5/17 8:55
114,b'bholaa ',b'@SFBARTalert The delays are longer than you reported',23/5/17 8:52
115,b'Kimberly Wong ',b'',23/5/17 8:43
116,b'SFBARTalert ',b'BART recovering: 10 min delay at COLS in RICH and DALY dirs due to police activity.',23/5/17 8:42
117,b'Kimberly Wong ',b'',23/5/17 8:41
118,b'Mitch ',"b'No update on""mechanical problems"" for all North Concord trains? your decrepit train stations provide more timely updates.#BARTatitsbest'",23/5/17 7:27
119,b'Mitch ',"b'Looks to include PITT to SF line...I\'m sure ""equipment problems"" again on the 7:17 out of Concord....4min late and counting'",23/5/17 7:22
120,b'Nick Reshatoff ',"b""Daily delays. Sick and tired of it. I want compensation for this crap. It's ridiculous!!!""",23/5/17 7:16
121,b'Mike Williams ',b'@SFBARTalert Bart need to shut down and let a new company take over. You motto died along time ago. Obsolete system',23/5/17 6:45
122,b'Mike Williams ',b'@SFBARTalert you need to get a train to hayward asap. You Once again failed to live up to your own standards. Bay rapid system not',23/5/17 6:39
123,b'Christine Samra ',"b""Was this at all due to track work from this weekend's derailment?""",23/5/17 6:20
124,b'SFBARTalert ',"b'10 min delay between UCTY and warm springs in warm springs, FRMT and DALY dirs due to equip prob.'",23/5/17 6:20
125,b'SFBARTalert ',"b'BART recovering: 10 min delay at DALY in SFO, MLBR and East Bay dirs due to earlier track maintenance.'",23/5/17 5:35
126,b'Dave Meehan ',b'Hey @SFBARTalert 3 trains in a row only going as far as 24th st? Why?',22/5/17 17:26
127,b'BEAR \n\xf0\x9f\x9b\xa1\nANIME HEXPO ',b'WOE IS ME.... TOO SWOLE TO CONTROL',22/5/17 9:31
128,b'edel alon ',b'On? Thanks for pulling us out. https://youtu.be/hP00VmKx_No  @Fanboy_Xela',22/5/17 9:06
129,b'Lilianna Perez ',"b""Delays after delays  I think I'm going to car pool from now on like religiously because for 1. You save money 2. You get to SF a lot faster""",22/5/17 8:57
130,b'edel alon ',b'Your muscles caused the delay! Flex!',22/5/17 8:55
131,b'BEAR \n\xf0\x9f\x9b\xa1\nANIME HEXPO ',b'YUP I WAS ON THAT TRAIN',22/5/17 8:54
132,b'edel alon ',b'@SalmonDelicious',22/5/17 8:53
133,b'Ryan ',"b'try 22+ minutes @SFBART. but hey, 10 minutes sounds a lot nicer right?'",22/5/17 8:43
134,b'Sarah Kamp ',"b'@SFBART @SFBARTalert when your train is inching its way to W. Oak, mechanical issues, all I can think of is the derailed train on sat'",22/5/17 8:30
135,b'marco v ',b'Umm you sure not westbound',22/5/17 8:30
136,b'Heather Soldonia ',"b"".@SFBARTalert schedule on the PITT line was wrong at Concord and PHill today. Can't believe the Bay Area keeps tolerating unreliable transpo""",22/5/17 7:53
137,b'Heather Soldonia ',"b"".@SFBARTalert 3rd time in 1 week you've cancelled DC train on PITT line w/o explanation and w/o announcement.""",22/5/17 7:51
138,b'Erin Earnest ',"b""@SFBARTalert @SFBART where is the 7:02 Daly City train? What's the deal with trains stopping at Montgomery? A lot of riders work past there. \xe2\x80\x93 at Concord BART Station""",22/5/17 7:05
139,b'Melissa Ta ',"b""@SFBARTalert what's happening with @SFBART going into SF?""",21/5/17 16:07
140,b'Robert Kriletich ',b'Is derailment  due to  the new track replacement',21/5/17 9:40
141,b'Sandra Dee  \n\xf0\x9f\x90\xae\n ',"b""Perhaps give an estimated time. Not let people sit in stations and wait for a train that's not coming for an hour""",21/5/17 0:20
142,b'ElvinoPinot ',"b""@SFBART @SFBARTalert Baypoint train from SFO is delayed again.It's off peak hrs & no emergency.""",20/5/17 22:41
143,b'ElvinoPinot ',b'Baypoint train is on West Oak.Train operator is NOT giving details why this train is late.AGAIN.',20/5/17 22:38
144,b'Book of Ours Julie ',b'imperialist pig mediocre transit agency ',20/5/17 16:56
145,b'SFBARTalert ',"b'BART svc has resumed between BALB and COLM in SFO, MLBR and East Bay dirs. Expect major delays in svc in all dirs from DALY stn.'",20/5/17 16:47
146,b'Russ Curtis ',b'BART train derailment outside of Balboa Park station causing a mess on San Francisco line: @SFBARTalert :: http://m.bart.gov/schedules/advisories \xe2\x80\xa6',20/5/17 16:15
147,b'SFBARTalert ',b'A detailed BART service advisory has been issued: http://m.bart.gov/schedules/advisories \xe2\x80\xa6',20/5/17 15:40
148,b'OH SNAP  \n\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbd\n ',b'Hello? Can we put out a statement? People are stranded...',20/5/17 15:34
149,b'Katy Perry ',b'Just glad I escaped the city right before this happened.',20/5/17 15:24
150,b'Kyle Chak ',"b""@fresconews is watching major @SFBARTalert/@SFBART delays at Daly City station. Disabled  outside Daly City. I'm on my way there. #KTVU""",20/5/17 15:20
151,b'SFBARTalert ',"b'Major delay on SF line in PITT, DUBL, warm springs, RICH, SFO, MLBR and DALY dirs due to equip prob.'",20/5/17 15:03
152,b'opal deluxe ',b'dammit',20/5/17 14:58
153,b'People Behaving Bad ',"b""It's @SFBART @SFBARTalert - no one should be surprised. #CriminalsWinAgain""",20/5/17 11:45
154,b'Edmundo Ruiz ',b'@SFBARTalert what seems to be the trouble at embarcadero outbound? The train to richmond has stopped here',19/5/17 21:47
155,b'People on the Bus ',b'The C is capitalized! Alameda\xe2\x80\x93Contra Costa Transit District. Thank you!',19/5/17 14:38
156,b'Mikey M ',b'@SFBARTalert Loud rap.music playing on Train going towards Richmond. Just left Fruitvale.',19/5/17 7:17
157,b'ElvinoPinot ',"b""It's OFF PEAK HOURS.""",18/5/17 22:44
158,b'ElvinoPinot ',b'And you want ridership to increase.Can we just have ONE WEEK of this specific train to follow the schedule?!',18/5/17 22:43
159,b'Andrew Lueder ',"b'Sometimes the ""police activity"" is in non-paid statio. areas, not the trains themselves. Anyway delaying pub. trans. should be its own crime'",18/5/17 9:16
160,b'Jimmie H. ',"b""If the stations monitored who gets on bart better there wouldn't be these issues.  You think these criminals are paying their way? #bart""",18/5/17 7:57
161,b'Andrew Lueder ',b'Tried to leave early enough to get to City by 8. Will fail. Criminals should be prosecuted for the ma y delays they cause BART #0accountable',18/5/17 7:54
162,b'Andrew ',"b""I have never seen more abbreviations. Sry. I've nvr sn mre abbvs.""",17/5/17 16:08
163,b'SFBARTalert ',b'BART recovering: 10 min on FRMT line in RICH and DALY dirs due to an earlier quipment prob on a train.',17/5/17 15:30
164,b'SFBARTalert ',"b'10 min delay between COLS and SANL in FRMT, RICH and DALY dirs due to equip prob.'",17/5/17 15:24
165,b'Adrian Covert ',"b'WOW. Morning BART @ Embarcadero so packed, doors closed b4 all passengers disembarked, sent to W Oak @SFBARTalert'",17/5/17 11:35
166,b' \xe2\x98\x81\xef\xb8\x8f\nRei \n\xf0\x9f\xa6\x84\n ',"b'Ahhh, another Wednesday in the Bay. Holding at 19th street station heading into #SF due to police activity. @SFBARTalert #Millbrae #bart'",17/5/17 8:38
167,b'Robert Rogers ',"b'.@SFBARTalert stopped at el Cerrito del Norte due to ""police activity at richmond station"" @SFBART'",16/5/17 22:56
168,b'Thomas Rithkins ',b'@SFBART @SFBARTalert why is it 50 degrees outside yet 98 degrees in the train car????Oh unsolvable problems of 2017 #godhelpbartincompetence',16/5/17 17:14
169,b'Elisabeth ',b'@SFBARTalert why is there no alert for person hit by train in Richmond?',16/5/17 16:09
170,b'SFBARTalert ',b'BART recovering: 10 min delay system wide due to police activity and medical emergencies.',16/5/17 8:46
171,b'Gibby ',b'@SFBARTable @SFBART @SFBARTalert Daly city train 1504 smells like something died and then got wet and then died again. #bart',16/5/17 8:36
172,b'SFBARTalert ',b'10 min delay at SF stns in SFO and MLBR dirs due to police activity.',16/5/17 8:29
173,b'liz polo ',"b'@AaronPeskin @SFBARTalert @BevanDufty seems ""no action"" by BART we pay honestly then I\'m witnessing 25 ppl past BART agent! Free!!!'",15/5/17 22:00
174,b'Ronnie ',b'As usual get your act together.',15/5/17 10:39
175,b'Kevin Atkinson ',b'Hi @SFBARTalert: will trains from Fruitvale to Lake Merritt tomorrow? Or will the bus bridge be going again?',13/5/17 18:57
176,b'Mikey M ',b'@SFBARTalert Stereo full blast and kids causing a commotion. Train going towards Daily City.',13/5/17 18:00
177,b'Courtney Clark ',b'NOOOOOOOOO',13/5/17 5:38
178,b'Vinitha Rangarajan ',b'Bart staff were incredibly friendly. Upwards of 45 min delays so time to leave and call a @lyft.',12/5/17 23:02
179,b'Elisabeth Rusca ',"b'Again""""""'",12/5/17 22:57
180,b'Vinitha Rangarajan ',"b'@SFBARTalert ""timed transfer"" = 20 minute wait at MacArthur at 11 pm. '",12/5/17 22:56
181,b'ElvinoPinot ',b'Thanks for the heads up.',12/5/17 22:51
182,b'SFBARTalert ',"b'20 min delay at ROCK in PITT, SFO and MLBR dirs due to equip prob.'",12/5/17 22:35
183,b'Bradley Cruz ',b'You wonder if Bart personnel on the tracks could have prevented this',12/5/17 20:29
184,b'SFBARTalert ',b'10 min delay on RICH line in warm springs and RICH dirs due to person(s) on track.',12/5/17 20:27
185,b'SFBARTalert ',b'BART recovering: 10 min delay on SF line in East Bay dir due to equip prob.',12/5/17 18:29
186,b'Maria oliva lens ',b'Why homeland security at @SFBARTalert',12/5/17 16:42
187,b'liz polo ',b'@SFBART @SFBARTalert Powell station platform 2 train announcement reader board not working! Fix please',11/5/17 20:09
188,b'ruby_arizona ',b'@SFBART @SFBARTalert Hacked? ',11/5/17 8:28
189,b'Patrick Khensovan ',b'@SFBART @SFBARTalert  ',11/5/17 8:26
190,b'Jon ',"b""Trains aren't moving at all""",11/5/17 7:04
191,b'Jarett Cole ',b'The way you pack people on to trains should be criminal. So corrupt.',10/5/17 18:40
192,b'Yogii J Mac ',"b""@SFBART  You could have fooled me with y'all racist #bayfair #police @SFBARTalert and @HaywardPD PFN#BGV486 OCA#1112-1594 @FBI""",10/5/17 17:55
193,b'Michael Heddlesten ',b'@SFBARTalert you can see that the big bond passed in November has not reduced equipment delays. Where is the money going? ',10/5/17 17:40
194,b'Mia ',b'@SFBARTalert @SFBART train stuck in tunnel to city center 12th st station in oakland. Been almost 5 mins no announcement',10/5/17 17:40
195,b'Anatoliy Sokolenko ',b'Another interesting observation 20 mins - 32 mins == 10 mins ;)',10/5/17 10:17
196,b'Anatoliy Sokolenko ',"b'10 mins == 90 mins, probably new field for algebra research. Phase transition of new kind potentially.'",10/5/17 10:15
197,b'Y. S. Ramakrishna ',"b""Good to know he hasn't. Train arrived ~45 mins (?) late....""",10/5/17 10:13
198,b'Y. S. Ramakrishna ',"b'Has @realdonaldtrump also fired all @SFBART employees, now, I wonder.'",10/5/17 10:10
199,b'Jojo Antonio ',"b""@SFBART @SFBARTalert it's 30m still no train going to sf at dublin station""",10/5/17 10:08
200,b'Brandon ',b'Is there a delay leaving west Dublin?',10/5/17 10:00
201,b'Y. S. Ramakrishna ',"b""Doesn't look like a recovery to me. Waiting at DUB for over 30 mins now. @SFBARTalert @SFBART""",10/5/17 9:58
202,b'Thomas Rithkins ',b'@SFBART @SFBARTalert jjennin@bart.gov why do I have to inhale shit every single day on your trains? Oh bc you guys refuse to do your job',10/5/17 9:55
203,b'BART Commuter ',"b'@SFBART, did someone get robbed again??!! '",10/5/17 9:52
204,b'Thomas Rithkins ',"b'@SFBART @SFBARTalert maybe the Bart police should spend more time getting the crackheads off the trains instead of playing ""Santa""'",10/5/17 9:51
205,b'Thomas Rithkins ',b'@SFBARTalert @SFBART on train to sf from e.b. Whole train wreaks like feet/poo from the 15 homeless people sleeping on train #PLEASEHELP',10/5/17 9:47
206,b'SFBARTalert ',"b'20 min delay at COLS in DUBL, warm springs and FRMT dirs due to equip prob.'",10/5/17 9:34
207,b'Anita Hsieh ',b'This helps me 0%',10/5/17 8:00
208,b'Anita Hsieh ',"b'At 24th st station where the train was smoking, and people got back on the train...@SFBARTalert '",10/5/17 7:52
209,b'Alexis Smith\nVerified account\n ',"b""Now that I do not know. Sorry I'm not more help.""",9/5/17 8:45
210,b'Darnoc ',b'Was it a display screen issue?',9/5/17 8:33
211,b'Alexis Smith\nVerified account\n ',"b'Sure, there was an equipment problem on a train at Balboa Park.'",9/5/17 8:30
212,b'Darnoc ',b'May I ask what the problem was?I thought I was on the warm springs route but ended up on the Bay Point line. I am not sure if it was just me',9/5/17 8:14
213,b'Dane ',b'What about the delays at Dublin?',9/5/17 7:27
214,b'Alexis Smith\nVerified account\n ',"b'Haha sorry! Problem has cleared, should be back to normal soon. Happy Tuesday!'",9/5/17 6:37
215,b'Prerak Trivedi ',b'Gurrr  you are fast in reporting ... Happy Tuesday',9/5/17 6:28
216,b'mich_man97 ',b'THE worst transit agency in the bay area.',9/5/17 6:23
217,b'chon ',b'shits all fucked up again',8/5/17 13:43
218,b'\xe9\x87\x8d\xe8\x89\xb2\xe4\xba\xb2\xe5\x8f\x8b\xe7\x9a\x84\xe6\x9f\x90\xe5\x8f\xaa ',b'@SFBARTalert is there any indicator for next departure train at Daly city station? Got on one train but saw another train arrived and left',8/5/17 10:09
219,b'No Drugs ',b'Trains delayed today. You guys aware or nah? @SFBARTalert',8/5/17 8:34
220,b'SFBARTalert ',b'A detailed BART service advisory has been issued: http://m.bart.gov/schedules/advisories \xe2\x80\xa6',7/5/17 1:45
221,b'Carmen Gomez ',"b'What else is new, Bart??'",6/5/17 0:56
222,b'ElvinoPinot ',"b""Baypoint train wouldn't be on time but thanks to the operator for the heads up.""",5/5/17 22:58
223,b'Athena Chang ',b'Why do people cause trouble at BART stations!? Went through @SFBARTalert thread today and most of the delays were due to police activities.',5/5/17 22:35
224,b'SFBARTalert ',"b'BART recovering: 10 min delay between CONC and PHIL on PITT line in PITT, SFO and MLBR dirs due to equip prob.'",5/5/17 22:07
225,b'BART Commuter ',"b'@SFBART problems now come in ""variety packs"" for his and her pleasure'",5/5/17 21:07
226,b'Christina Ehat ',b'Pretty much sums me up as a person.',5/5/17 19:11
227,b'Sean Walsh ',b'wow so rare',5/5/17 19:06
228,b'Claire ',"b""@seanmurphy shouldn't this be their bio ?? Jk Bart, I know you're trying hard.""",5/5/17 19:01
229,b' \xf0\x9f\x8c\xb8\nQueen Quinn \n\xf0\x9f\x8c\xb8\n ',b'Still sad that they tweet out failure alerts so often that they needed to automate it.',5/5/17 18:54
230,b' \xf0\x9f\x8c\xb8\nQueen Quinn \n\xf0\x9f\x8c\xb8\n ',b'I think it is already automated hahaha',5/5/17 18:52
231,b' \xf0\x9f\x8e\xb1\n ',b'Too many breakdance shows',5/5/17 18:42
232,b'justaBARTrider ',"b""is this a real update? With fails this broad, do us a favor: don't tweet the tiny victories out if #thisisourreality #bartfail""",5/5/17 18:32
